time,trial
0.245886,1
0.234065,2
0.236652,3
0.237609,4
0.237399,5
0.239554,6
0.238967,7
0.234656,8
0.236735,9
0.235718,10
0.238011,11
0.240302,12
0.234963,13
0.240015,14
0.241628,15
