time,trial
0.418480,1
0.338550,2
0.335280,3
0.339098,4
0.335876,5
0.333996,6
0.339016,7
0.337320,8
0.334480,9
0.342046,10
0.331239,11
0.338285,12
0.337049,13
0.335716,14
0.337079,15
