time,trial
14.962489,1
16.868606,2
18.393971,3
18.399239,4
18.424986,5
18.335847,6
18.322844,7
18.364036,8
18.380688,9
18.422119,10
18.423976,11
18.444512,12
18.455028,13
18.515254,14
17.968043,15
