time,trial
0.047461,1
0.035510,2
0.035095,3
0.035034,4
0.035031,5
0.035182,6
0.035124,7
0.035030,8
0.035074,9
0.035265,10
0.035328,11
0.035298,12
0.035225,13
0.041949,14
0.025302,15
